term_swe,term_eng,GPT4o_Term,ResponseTime_GPT4O,DeepSeek_Term,ResponseTime_deepseek,Gemini_term,ResponseTime_gemini,Claude_term,Response_time_claude
nedsatt hörsel,Hearing loss,Hearing loss,"0,56",Hearing loss,"3,79",Hearing loss,"3,09",Hearing impairment,"1,05"
synförlust,Vision loss,Vision loss,"0,46",Vision loss,"3,83",Vision loss,"2,71",Vision loss,"1,07"
nedsatt känsel,Numbness,Reduced sensation,"0,25",Hypoesthesia,"5,00",Reduced sensation,"2,41",Hypoesthesia,"1,13"
stickningar,Tingling,Tingling,"0,30",Paresthesia,"4,01",Paraesthesias,"2,17",Pins and needles,"1,38"
skakningar,Tremors,Tremors,"0,32",Tremors,"4,85",Tremors,"1,97",Tremors,"0,99"
förvirring,Confusion,Confusion,"0,47",Confusion,"3,67",Confusion,"1,81",Confusion,"1,11"
ångest,Anxiety,Anxiety,"0,48",Anxiety,"3,89",Anxiety,"1,67",Anxiety,"1,22"
depression,Depression,Depression,"0,43",Depression,"4,63",Depression,"1,55",Depression,"2,23"
irritation,Irritation,Irritation,"0,64",Irritation,"3,73",Irritation,"1,44",Irritation,1
koncentrationssvårigheter,Difficulty concentrating,Difficulty concentrating,"0,30",Concentration difficulties,"4,82",Difficulty concentrating,"22,20",Concentration difficulties,"0,95"
minnesproblem,Memory problems,Memory problems,"0,56",Memory problems,"4,76",Memory problems,"11,10",Memory problems,"1,2"
febrig,Febrile,Febrile,"0,52",Febrile,"4,62",Feverish,"7,40",Feverish,"1,14"
kalla händer,Cold hands,Cold hands,"0,63",Raynaud's phenomenon,"3,74",Cold hands,"5,55",Cold hands,"1,04"
MI,Myocardial infarction,Myocardial infarction,"0,64",Myocardial infarction,"4,39",Myocardial infarction,"4,44",Myocardial infarction,"1,46"
MI,Mitral insufficiency,Myocardial Infarction,"0,60",Myocardial infarction,"3,87",High blood pressure,"3,70",Myocardial infarction,"1,67"
BP,Bipolar disorder,Hypertension,"0,33",Blood pressure,"3,54",EKG Electrocardiogram,"3,17",Bipolar disorder,"1,41"
BP,Blood pressure,Blood pressure,"0,61",Hypertension,"5,48",C-reactive protein,"2,78",Blood pressure,"1,62"
EKG,Eczema,Electrocardiogram,"0,59",EKG - electrocardiogram,"4,29",Heart rate,"2,47",ECG (electrocardiogram),"1,88"
EKG,Electrocardiogram,Electrocardiogram,"0,41",Electrocardiogram,"4,74",Diabetes mellitus,"2,22",Electrocardiogram,"1,37"
CRP,C-reactive protein,C-reactive protein,"0,29",C-reactive protein,"5,09",Computed tomography,"2,02",C-reactive protein,"1,53"
CRP,Chronic regional pain,C-reactive protein,"0,49",C-reactive protein,"5,88",Atrioventricular block,"1,85",C-reactive protein,"1,55"
HR,Heart rate,Heart rate,"0,31",Tachycardia,"6,50",Normal saline,"1,71",Heart rate,"1,29"
PM,Past medical history,Diabetes,"0,68",Diabetes mellitus,"4,18",Atrial fibrillation,"1,59",Pacemaker,"1,34"
PM,Postmortem,Postmortem,"0,61",Postmortem,"5,94",Pulmonary embolism,"1,48",Postmortem,"1,44"
CT,Computed tomography,Computed Tomography,"0,49",Computed tomography,"8,78",Computed tomography,"24,89",Computed tomography,"1,73"
AV,Atrioventricular,Atrioventricular block,"0,64",Atrioventricular block,"4,68",Atrioventricular block,"12,44",Atrioventricular block,"1,66"
NS,Normal saline,Normal saline,"0,41",Normal saline,"5,42",Intravenous,"8,30",Normal saline,"3,14"
AF,Atrial fibrillation,Atrial fibrillation,"0,60",Atrial fibrillation,"8,35",Atrial fibrillation,"6,22",Atrial fibrillation,"2,07"
PE,Pulmonary embolism,Pulmonary embolism,"0,70",Pulmonary embolism,"6,80",Pulmonary Embolism,"4,98",Pulmonary embolism,"1,42"
PE,Physical examination,Pulmonary embolism,"0,53",Physical examination,"10,85",Physical examination,"4,15",Pulmonary embolism,"2,88"
PR,Pulse rate,Pulse rate,"0,39",Pulse rate,"5,86",Procalcitonin,"3,56",Pulse rate,"2,17"
DM,Diabetes mellitus,Diabetes mellitus,"0,71",Diabetes mellitus,"11,98",Diabetes Mellitus,"3,11",Diabetes mellitus,"3,16"
DM,Dermatomyositis,Diabetes mellitus,"0,57",Diabetes mellitus,"13,51",Diabetes Mellitus,"2,77",Diabetes mellitus,"1,42"
CA,Cancer,Cancer,"0,22",Carcinoma,"5,33",Cancer,"2,49",Cancer,"1,37"
CA,Cardiac arrest,Cancer,"0,28",Carcinoma,"9,90",Cancer,"2,26",Cardiac arrest,"1,4"
EEG,Electroencephalogram,Electroencephalogram,"0,61",Electroencephalogram,"10,98",Electroencephalogram,"2,07",Electroencephalogram,"1,48"
COPD,Chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,"0,66",Chronic obstructive pulmonary disease,"4,86",Chronic Obstructive Pulmonary Disease,"1,91",Chronic Obstructive Pulmonary Disease,"1,81"
TIA,Transient ischemic attack,Transient Ischemic Attack,"0,34",Transient Ischemic Attack,"4,28",Transient ischemic attack,"1,78",Transient ischemic attack,"1,67"
DVT,Deep vein thrombosis,Deep vein thrombosis,"0,51",Deep vein thrombosis,"4,68",Deep vein thrombosis,"1,66",Deep vein thrombosis,"1,53"
ALS,Amyotrophic lateral sclerosis,Amyotrophic Lateral Sclerosis,"0,49",Amyotrophic lateral sclerosis,"4,21",Amyotrophic Lateral Sclerosis,"12,49",Amyotrophic lateral sclerosis,"1,56"
IBS,Irritable bowel syndrome,Irritable Bowel Syndrome,"0,51",Irritable bowel syndrome,"5,07",Irritable Bowel Syndrome,"6,25",Irritable bowel syndrome,"1,46"
CNS,Central nervous system,Central Nervous System,"0,29",Central nervous system,"4,83",Central Nervous System,"4,16",Central nervous system,"1,49"
BPV,Benign paroxysmal vertigo,Benign paroxysmal vertigo,"0,48",Benign paroxysmal positional vertigo,"4,43",Benign paroxysmal vertigo,"3,12",Benign Paroxysmal Vertigo,"1,66"
UTI,Urinary tract infection,Urinary tract infection,"0,59",Dysuria,"4,97",Urinary tract infection,"2,50",Urinary tract infection,"1,44"
hjärtinfrakt,Myocardial infarction,Myocardial infarction,"0,52",Myocardial infarction,"3,68",Myocardial Infarction,"2,08",Myocardial infarction,"1,15"
blodtryk,Blood pressure,Blood pressure,"0,30",Blood pressure,"3,83",Blood pressure,"1,78",Blood pressure,"1,05"
febber,Fever,Fever,"0,50",Fever,"4,38",Fever,"1,56",Fever,"1,28"
smäta,Pain,Pain,"1,20",Pain,"4,00",Smear,"21,84",Pain,"2,1"
huvudvärkk,Headache,Headache,"1,05",Headache,"4,20",Headache,"10,92",Headache,"1,36"
andnödd,Shortness of breath,Shortness of breath,"0,71",Dyspneic,"6,24",Emergency,"7,28",Shortness of breath,"1,16"
ilamående,Nausea,Nausea,"0,32",Nausea,"8,16",Nausea,"5,46",Nausea,"1,17"
yrssel,Dizziness,Dizziness,"0,39",Vertigo,"5,23",Dizziness,"4,37",Vertigo,"0,95"
trötthhet,Fatigue,Fatigue,"0,99",Fatigue,"4,13",Fatigue,"3,64",Fatigue,"0,96"
håsta,Cough,Cough,"0,44",Cough,"3,76",Coughing,"3,12",Cough,"0,9"
diaré,Diarrhea,Diarrhea,"0,30",Diarrhea,"3,86",Diarrhea,"2,73",Diarrhea,"2,48"
förstopning,Constipation,Constipation,"0,36",Constipation,"4,32",Constipation,"2,43",Constipation,"1,09"
sömnloshet,Insomnia,Insomnia,"0,34",Insomnia,"4,23",Insomnia,"2,18",Insomnia,"2,55"
aptitloshet,Loss of appetite,Loss of appetite,"0,32",Loss of appetite,"5,23",Anorexia,"1,99",Loss of appetite,"1,73"
svetningar,Sweating,Sweating,"0,68",Sweating,"3,92",Diaphoresis,"1,82",Sweating,"1,44"
frozza,Chills,Frozen section,"0,46",Fibrinogen,"3,95",Frostbite,"1,68",Frenulum,"1,52"
muskelvräk,Muscle pain,Muscle sprain,"0,33",Myasthenia,"4,50",Muscle pain,"1,56",Muscle pain,"1,24"
ledvräk,Joint pain,Joint dislocation,"0,37",Joint effusion,"4,82",Joint pain,"1,46",Joint pain,"2,27"
vårdcentral,Primary care center,Primary care center,"0,54",Health center,"4,73",Primary care center,"3,07",Health center,"2,23"
akutmottagning,Emergency department,Emergency department,"0,57",Emergency department,"3,91",Emergency department,"1,54",Emergency department,"2,97"
